Avg. Success,Avg. Precision,Total Secs,adjust_max_scale_diff,adjust_max_scale_diff_after,inner_punish_threshold,outer_punish_threshold,c_number_scales,max_scale_difference,scale_window_step_size
0.49047582078678975,0.8217047110247693,79.56253,False,3,0.3,0.3,33,0.02,0.005
0.01224363854798503,0.17710544431931313,1655.507086,False,3,0.5,0.4,33,0.02,0.005
0.039191903491017865,0.07851696296695174,764.018655,False,3,0.1,0.05,33,0.02,0.005
0.04124322273331111,0.08011333437528237,776.217032,False,3,0.05,0.2,33,0.02,0.005
0.01732246030799572,0.18676119916216716,1692.260252,False,3,0.4,0.6,33,0.02,0.005
0.10061158459389338,0.23932070734175678,1568.134593,False,3,0.3,0.2,33,0.02,0.005
0.5207030087421078,0.8381107333657115,73.075239,False,3,0.3,0.3,33,0.02,0.005
0.3532593935595193,0.5824395247170457,1111.615155,False,3,0.2,0.3,33,0.02,0.005
0.17463497389868346,0.3608960949999674,1463.570902,False,3,0.6,0.2,33,0.02,0.005
0.5119530087421078,0.8557163671685284,209.747133,False,3,0.3,0.3,33,0.02,0.005
0.022918509041251898,0.22880211166826925,1630.714099,False,3,0.5,0.3,33,0.02,0.005
0.13065515214474693,0.26915379166783493,1543.428372,False,3,0.2,0.6,33,0.02,0.005
0.16080248072213477,0.2982306991481404,1439.742901,False,3,0.3,0.3,33,0.02,0.005
0.38981032782904323,0.6421272462360369,79.176909,False,3,0.3,0.3,33,0.02,0.005
0.01225913537706296,0.16430276940334418,1704.496529,False,3,0.4,0.5,33,0.02,0.005
0.017532585453789568,0.21839613256819673,1665.126191,False,3,0.5,0.6,33,0.02,0.005
0.30872867804850396,0.539204631996158,1159.129164,False,3,0.2,0.2,33,0.02,0.005
0.15295290963053132,0.329999847560391,1365.976913,False,3,0.4,0.3,33,0.02,0.005
0.08683559319026599,0.23068843081901438,820.608309,False,3,0.05,0.35,33,0.02,0.005
0.011471911814620584,0.180303390988184,1734.953472,False,3,0.5,0.5,33,0.02,0.005
0.15250542871267853,0.2963259528872707,1492.030504,False,3,0.5,0.2,33,0.02,0.005
0.038858837904428026,0.2546054047860068,1594.929219,False,3,0.3,0.5,33,0.02,0.005
0.010438038058949162,0.15682461243408968,1710.867024,False,3,0.4,0.4,33,0.02,0.005
0.013943773652887284,0.16308583200765048,1731.152806,False,3,0.3,0.6,33,0.02,0.005
0.47828498300145705,0.7208159300631374,73.939268,False,3,0.3,0.3,33,0.02,0.005
0.10213569973564411,0.21364637968179317,1558.601755,False,3,0.2,0.5,33,0.02,0.005
0.12041627030928388,0.2630873185221497,1615.508684,False,3,0.4,0.2,33,0.02,0.005
0.113167013581099,0.38072210587658933,1484.96695,False,3,0.3,0.4,33,0.02,0.005
0.0783777208610696,0.21152916603340133,1660.086469,False,3,0.2,0.3,33,0.02,0.005
0.041928616609657375,0.08834975237175226,774.602485,False,3,0.05,0.15,33,0.02,0.005
